sweepId,serverId,runId,t,load,phase,liveBullets,memoryMb,instanceCount
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,0.01677211991,0,idle,0,550.5234375,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,1.033390245,0,idle,0,550.5234375,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,2.049979569,0,idle,0,547.6171875,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,3.066617233,0,idle,0,547.96875,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,4.083232028,0,idle,0,547.96875,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,5.08328682,0,idle,0,547.9726563,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,6.099790005,0,idle,0,547.9726563,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,7.116458869,0,idle,0,548.0859375,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,8.133051133,0,idle,0,548.0859375,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,9.149661038,0,idle,0,548.0859375,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,10.1662917,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,11.1829081,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,12.19951152,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,13.2161637,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,14.23290309,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,15.2495044,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,16.26605161,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,17.28267512,0,idle,0,548.328125,100876
frame1_base,20260824T000440-4d7d85d4,20260824T000650-9e2d478f,18.29933143,0,idle,0,548.328125,100876
